,Product_Name,Ram_Rom,battery,display,Resolution,Price,Rating
35,"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹12,499",4.2
36,"SAMSUNG Galaxy M32 5G (Slate Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 5MP + 2MP | 13MP Front Camera,"₹21,308",4.2
37,SAMSUNG Metro 313 Dual Sim,10 MB RAM | 2 MB ROM | Expandable Upto 16 GB,1000 mAh Battery,5.08 cm (2 inch) QVGA Display,0.3MP Rear Camera,"₹2,498",4.3
38,"SAMSUNG Galaxy M12 (Black, 64 GB)",4 GB RAM | 64 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹11,349",4.2
39,"SAMSUNG Galaxy M11 (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium-ion Battery,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP + 2MP | 8MP Front Camera,"₹11,464",4.2
40,"SAMSUNG Galaxy F12 (Celestial Black, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹12,499",4.2
41,"SAMSUNG Galaxy M12 (White, 128 GB)",6 GB RAM | 128 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹13,909",4.2
42,"SAMSUNG Galaxy M32 (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Battery,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,"₹14,990",4.2
43,"SAMSUNG Galaxy M12 (Black, 128 GB)",6 GB RAM | 128 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹13,849",4.2
44,"SAMSUNG Galaxy F62 (Laser Grey, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,7000 mAh Lithium-ion Battery,17.02 cm (6.7 inch) Full HD+ Display,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,"₹25,999",4.3
45,"SAMSUNG Galaxy A22 5G (Mint, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium-ion Battery,16.76 cm (6.6 inch) Full HD+ Display,48MP + 5MP + 2MP | 8MP Front Camera,"₹18,358",4.3
46,"SAMSUNG Galaxy M12 (White, 64 GB)",4 GB RAM | 64 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹11,380",4.2
47,SAMSUNG GURU GT,153 MB RAM | 153 MB ROM,1 Year Manufacturer Warranty,3.81 cm (1.5 inch) Display,800 mAh Battery,"₹1,999",4.1
48,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium-ion Battery,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹12,999",4.3
49,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium-ion Battery,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹14,999",4.3
50,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹11,499",4.2
51,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium-ion Battery,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹12,999",4.3
52,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹11,499",4.2
53,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium-ion Battery,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹14,999",4.3
54,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹11,499",4.2
55,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹12,499",4.2
56,"SAMSUNG Galaxy M12 (Blue, 128 GB)",6 GB RAM | 128 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹13,969",4.2
57,"SAMSUNG Galaxy A03 Core (Blue, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,5000 mAh Li-ion Battery,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,"₹7,999",4.1
58,"SAMSUNG Galaxy M32 (Light Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Battery,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,"₹15,194",4.2
59,"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹12,499",4.2
60,"SAMSUNG Galaxy M32 5G (Slate Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 5MP + 2MP | 13MP Front Camera,"₹21,308",4.2
61,SAMSUNG Metro 313 Dual Sim,10 MB RAM | 2 MB ROM | Expandable Upto 16 GB,1000 mAh Battery,5.08 cm (2 inch) QVGA Display,0.3MP Rear Camera,"₹2,498",4.3
62,"SAMSUNG Galaxy M12 (Black, 64 GB)",4 GB RAM | 64 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹11,349",4.2
63,"SAMSUNG Galaxy M11 (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium-ion Battery,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP + 2MP | 8MP Front Camera,"₹11,464",4.2
64,"SAMSUNG Galaxy F12 (Celestial Black, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,6000 mAh Lithium-ion Battery,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,"₹12,499",4.2
65,"SAMSUNG Galaxy M12 (White, 128 GB)",6 GB RAM | 128 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹13,909",4.2
66,"SAMSUNG Galaxy M32 (Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Battery,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,"₹14,990",4.2
67,"SAMSUNG Galaxy M12 (Black, 128 GB)",6 GB RAM | 128 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹13,849",4.2
68,"SAMSUNG Galaxy F62 (Laser Grey, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,7000 mAh Lithium-ion Battery,17.02 cm (6.7 inch) Full HD+ Display,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,"₹25,999",4.3
69,"SAMSUNG Galaxy A22 5G (Mint, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium-ion Battery,16.76 cm (6.6 inch) Full HD+ Display,48MP + 5MP + 2MP | 8MP Front Camera,"₹18,358",4.3
70,"SAMSUNG Galaxy M12 (White, 64 GB)",4 GB RAM | 64 GB ROM,6000 mAh Battery,16.51 cm (6.5 inch) Display,48MP Rear Camera,"₹11,380",4.2
71,SAMSUNG GURU GT,153 MB RAM | 153 MB ROM,1 Year Manufacturer Warranty,3.81 cm (1.5 inch) Display,800 mAh Battery,"₹1,999",4.1
